0,1,2,3,4,5,6,7,8,9,10
C0003811,Ergoloid mesylate,,Cisapride,DIHYDROERGOCRISTINE,DIHYDROERGOCORNINE,,serotonin,ondansetron,setiptiline,metoclopramide
C0034065,Heparin,Bemiparin,Fondaparinux,Enoxaparin,Sulodexide,Danaparoid,Antithrombin III,Kappadione,,menadione
C0917798,cholic-acid,Oxygen,,Acetohydroxamic Acid,NADH,dimercaprol,coenzyme Q10,deferoxamine-mesylate,Filgrastim,amiloride
C0476089,Succinic acid,ospemifene,fulvestrant,fostamatinib,Arsenic trioxide,,bazedoxifene,dimethyl-fumarate,podophyllotoxin,cytarabine
C0015530,propylene glycol,CATRIDECACOG,,THROMBIN ALFA,sucralfate,Ancrod,Alteplase,Reteplase,Anistreplase,Tenecteplase
C0007134,fostamatinib,zaleplon,aspirin,zinc,Tenecteplase,podophyllotoxin,fulvestrant,Arsenic trioxide,NADH,dasatinib
C0678222,Arsenic trioxide,ponatinib,nintedanib,regorafenib,palifermin,Succinic acid,lenvatinib,,podophyllotoxin,Thalidomide
C0206245,zinc,cisplatin,Iron,Tenecteplase,amsacrine,Ancrod,,MOROCTOCOG ALFA,fostamatinib,mifepristone
C0013182,pranlukast,omalizumab,nedocromil,montelukast,,zafirlukast,erythromycin,azithromycin,sulfasalazine,paracetamol
C0221765,tramadol,diacerein,minaprine,cevimeline,aldesleukin,mepenzolate,flupentixol,Denileukin diftitox,ifosfamide,Nafcillin
C0040479,vernakalant,procainamide,propafenone,flecainide,disopyramide,quinidine,indapamide,,Encainide,ciprofloxacin
C0162627,copanlisib,idelalisib,ibrutinib,Collagenase clostridium histolyticum,halofuginone,dasatinib,fostamatinib,ponatinib,sorafenib,Lithium
C0878773,bosentan,,ambrisentan,Sitaxentan,macitentan,Canakinumab,lorcaserin,sarpogrelate,Fenfluramine,Siltuximab
C0005694,etoricoxib,,firocoxib,iguratimod,aceclofenac,carprofen,Lumiracoxib,diflunisal,Bromfenac,loxoprofen
C0020428,spironolactone,progesterone,niflumic-acid,hydroflumethiazide,etacrynic-acid,felodipine,nimodipine,trichlormethiazide,bumetanide,dexamethasone
C0019054,glycolic acid,isoprenaline,epinephrine,zinc,NADH,Iron,Thalidomide,dopamine,Glutathione,IRON DEXTRAN
C0206682,liothyronine,levothyroxine,Dextrothyroxine,amiodarone,fingolimod,ouabain,,Omega-3-carboxylic acids,,Atezolizumab
C0001627,,ondansetron,vilazodone,metoclopramide,Cisapride,tropisetron,,Cinitapride,prucalopride,mosapride
C0031069,fostamatinib,minocycline,Lactose,aspirin,,fulvestrant,dasatinib,dimethyl-fumarate,bosutinib,ospemifene
C0023479,nilotinib,sunitinib,sorafenib,ponatinib,imatinib,lenvatinib,pazopanib,nintedanib,regorafenib,dasatinib
C0017086,Ustekinumab,L-Serine,Oxycodone,amsacrine,Thalidomide,guselkumab,fostamatinib,aspirin,Glycine,NADH
C0010930,palifermin,lenvatinib,nintedanib,ponatinib,Thalidomide,pazopanib,Heparin,regorafenib,fostamatinib,hyaluronidase (ovine)
C0023487,dasatinib,Arsenic trioxide,ponatinib,sorafenib,sunitinib,nintedanib,regorafenib,simvastatin,,imatinib
C0019069,TUROCTOCOG ALFA,NONACOG BETA PEGOL,Kappadione,,MOROCTOCOG ALFA,Coagulation Factor IX,,,,THROMBIN ALFA
C0392784,halofuginone,Collagenase clostridium histolyticum,glucosamine,regorafenib,palifermin,minocycline,sorafenib,Ranibizumab,pazopanib,imatinib
C0036920,Arsenic trioxide,,regorafenib,fostamatinib,aspirin,Etanercept,sorafenib,isoprenaline,fulvestrant,ospemifene
C0376358,nintedanib,ponatinib,lenvatinib,palifermin,Heparin,aspirin,regorafenib,vandetanib,fostamatinib,hyaluronidase (ovine)
C0021051,Rituximab,Ibritumomab tiuxetan,Tositumomab,zinc,fostamatinib,ofatumumab,ocrelizumab,obinutuzumab,aspirin,bosutinib
C0032987,zinc,Thalidomide,Iron,IRON DEXTRAN,sodium ferric gluconate complex,lidocaine,pirfenidone,Aluminium chloride,,amsacrine
C0005695,,,ademetionine,zinc,estradiol cypionate,estradiol,fostamatinib,fulvestrant,bazedoxifene,ospemifene
C0018834,,Acetohydroxamic Acid,fostamatinib,Filgrastim,regorafenib,fulvestrant,ospemifene,Urokinase,vemurafenib,
C0024115,chloramphenicol,carvedilol,Mecasermin,regorafenib,Pseudoephedrine,Becaplermin,epinephrine,ponatinib,Insulin Glargine,Insulin Lispro
C0002893,Thalidomide,ridogrel,ozagrel,pomalidomide,Certolizumab pegol,golimumab,Infliximab,lenalidomide,pirfenidone,glucosamine
C0948896,Estrone,NADH,norgestrel,ketoconazole,dihydrotestosterone,levonorgestrel,estradiol cypionate,estradiol,abiraterone,flutamide
C0001430,zinc,isosorbide,Arsenic trioxide,fostamatinib,,aspirin,mesalazine,resveratrol,sulfasalazine,balsalazide
C0001418,chlorpromazine,amitriptyline,clozapine,loxapine,amoxapine,iloprost,doxepin,olanzapine,mianserin,fostamatinib
C0235063,ataluren,Vitamin C,N-Acetyl-D-glucosamine,SUCROSE,vincristine,Succinic acid,ixabepilone,colchicine,felodipine,podophyllotoxin
C0019243,Monoethanolamine oleate,,NAFAMOSTAT,CONESTAT ALFA,zinc,,Iron,ECALLANTIDE,IRON DEXTRAN,Oxycodone
C0018798,perampanel,cyclothiazide,Lithium,carvedilol,carfilzomib,thiopental,topiramate,fostamatinib,bortezomib,regorafenib
C0282193,Iron,IRON DEXTRAN,isoflurophate,cisplatin,Oxycodone,Sucroferric Oxyhydroxide,Thalidomide,,sodium ferric gluconate complex,lidocaine
C0028840,loteprednol,,halobetasol,medrysone,beclomethasone-dipropionate,ALCLOMETASONE,DIFLORASONE,methylprednisolone,,
C0014175,zinc,spironolactone,progesterone,dexamethasone,NADH,agomelatine,fluticasone propionate,iloprost,bimatoprost,Fludrocortisone
C0149925,Adenosine monophosphate,fostamatinib,regorafenib,Aminophylline,Theophylline,ponatinib,triflusal,,caffeine,fulvestrant
C0042870,,Gentamicins,Calcidiol,alfacalcidol,,maxacalcitol,paricalcitol,dihydrotachysterol,calcipotriol,tacalcitol
C0149931,cholic-acid,Oxygen,NADH,Valproic Acid,ospemifene,fulvestrant,,bazedoxifene,lamotrigine,ixabepilone
C0270846,zolpidem,etizolam,zaleplon,carisoprodol,,primidone,clomethiazole,Nitrazepam,lamotrigine,Alprazolam
C0023518,ponatinib,bosutinib,dasatinib,nilotinib,imatinib,IRON DEXTRAN,baricitinib,sodium ferric gluconate complex,,ruxolitinib
C0018203,dextromethorphan,glycolic acid,fostamatinib,nalbuphine,NADH,methylnaltrexone,,diacerein,tamoxifen,Butorphanol
C0017668,hyaluronidase (ovine),Tenecteplase,zinc,ocriplasmin,fostamatinib,chloramphenicol,,regorafenib,podophyllotoxin,
